Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
Northern Province,Gicumbi,Rukomo,GicumbiRukomo,"24,989","28,127","1,217",998,"12,269","13,643",4.015749169,551.5782751,6452.59425,8,90.7,0,0,0,0.2,0,1,97.5,2.3,0,0
Northern Province,Gicumbi,Rushaki,GicumbiRushaki,"12,672","15,048",,,"7,102","7,946",4.11909989,0,3653.225316,9.320930233,89.5619818,0,0,0,0.303943377,0.101314459,0.911830131,99.9,0.1,0,0
Northern Province,Gicumbi,Rutare,GicumbiRutare,"23,583","27,837",,,"13,371","14,466",4.027375435,0,6911.945621,63.61809045,35.1758794,0,0,0,0.100502513,0,1.105527638,99.7,0.2,0,0
Northern Province,Gicumbi,Ruvune,GicumbiRuvune,"18,962","21,990",,,"10,606","11,384",3.937130575,0,5585.285929,28.60081218,69.87928934,0,0,0,0.10142132,0,1.318477157,97.2972973,2.7027027,0,0
Northern Province,Gicumbi,Rwamiko,GicumbiRwamiko,"12,959","14,821",,,"7,163","7,658",4.08308032,0,3629.857568,58.8,38.7,0,0.1,0,0.2,0,2.2,100,0,0,0
Northern Province,Gicumbi,Shangasha,GicumbiShangasha,"15,929","18,696",,,"8,960","9,736",4.12804069,0,4529.025125,6.706706707,92.59259259,0,0,0,0,0,0.700700701,100,0,0,0
Southern Province,Gisagara,Gikonko,GisagaraGikonko,"23,098","28,772","2,304","2,477","11,472","12,519",3.973059297,1203.354806,6038.419818,74.11987891,25.1765893,0,0,0,0,0,0.503531786,61.02204409,38.97795591,0,0
Southern Province,Gisagara,Gishubi,GisagaraGishubi,"24,904","31,860",,,"15,366","16,494",4.08161435,0,7805.735003,79.1546371,20.54395161,0,0,0,0.100705645,0,0.100705645,31.23126253,68.66873747,0,0
Southern Province,Gisagara,Kansi,GisagaraKansi,"18,423","22,310",,,"10,465","11,845",3.782763896,0,5897.80399,71.01303912,27.98395186,0,0,0,0,0,1.003009027,35.2,64.8,0,0
Southern Province,Gisagara,Kibirizi,GisagaraKibirizi,"26,120","31,445",,,"14,806","16,639",3.642119912,0,8633.708049,52.85857573,44.5336008,0,0,0,0.902708124,0,1.705115346,41.8,58.2,0,0
Southern Province,Gisagara,Kigembe,GisagaraKigembe,"20,264","22,488",,,"10,611","11,877",3.847826087,0,5844.338983,80.36072144,19.03807615,0,0,0,0.100200401,0,0.501002004,10.4,89.5,0,0
Southern Province,Gisagara,Mamba,GisagaraMamba,"34,892","45,283",,,"21,896","23,387",4.02842124,0,11240.88006,73.01905717,25.17552658,0,0.100300903,0,0,0,1.705115346,55.1551,44.9449,0,0
Southern Province,Gisagara,Muganza,GisagaraMuganza,"29,781","36,530",,,"17,358","19,172",3.974515356,0,9191.057708,58.19124748,40.20120724,0,0,0,0.603018109,0,0.904527163,31.93193193,68.06806807,0,0
Southern Province,Gisagara,Mugombwa,GisagaraMugombwa,"22,712","36,469",,,"17,116","19,353",4.18750719,0,8708.999973,60.60301508,38.3919598,0,0,0,0,0,1.005025126,46.4,53.5,0,0
Southern Province,Gisagara,Mukindo,GisagaraMukindo,"26,829","32,393",,,"15,621","16,772",4.016139044,0,8065.706801,29.03202417,69.35427996,0,0,0,0.201611279,0,1.512084592,13.8,86.2,0,0
Southern Province,Gisagara,Musha,GisagaraMusha,"24,305","28,762",,,"13,856","14,906",3.880043179,0,7412.804104,80.46267606,18.73098592,0,0,0,0,0,0.906338028,40.8,59.2,0,0
